threshold_value,acc,recall,precision,f1_micro,f1_macro
0.0,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.01,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.02,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.03,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.04,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.05,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.06,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.07,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.08,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.09,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.1,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.11,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.12,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.13,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.14,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.15,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.16,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.17,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.18,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.19,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.2,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.21,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.22,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.23,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.24,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
0.25,0.1935483870967742,1.0,0.1935483870967742,0.1935483870967742,0.16216216216216217
